capital_marker,timezone,geo_lat,geo_lon,population,city_name
0.0,UTC+7,52.6516647,90.0885686,17111,Абаза
2.0,UTC+7,53.7223325,91.4436721,165183,Абакан
1.0,UTC+5,53.6778906,53.6472483,20663,Абдулино
1.0,UTC+3,44.8679655,38.1618157,34926,Абинск
0.0,UTC+5,55.8999056,53.9220144,16365,Агидель
1.0,UTC+3,56.5232864,52.9943775,19299,Агрыз
0.0,UTC+3,44.878414,39.190289,12689,Адыгейск
1.0,UTC+3,54.8598642,53.0745527,34859,Азнакаево
0.0,UTC+3,47.1121589,39.4232555,82882,Азов
0.0,UTC+7,51.178452,90.5985129,13469,Ак-Довурак
1.0,UTC+3,47.2676314,39.8756872,41984,Аксай
1.0,UTC+3,43.0417684,44.2199715,20949,Алагир
0.0,UTC+5,57.8475571,61.6693817,38198,Алапаевск
0.0,UTC+3,54.8397989,46.5721997,38202,Алатырь
1.0,UTC+9,58.6094283,125.3817188,21277,Алдан
0.0,UTC+7,52.4922513,82.7793606,28528,Алейск
1.0,UTC+3,56.391819,38.7111123,61544,Александров
0.0,UTC+5,59.1613221,57.5763459,15022,Александровск
1.0,UTC+11,50.8974378,142.1578559,10613,Александровск-Сахалинский
1.0,UTC+3,50.6299647,38.6880342,39026,Алексеевка
1.0,UTC+3,54.5083349,37.0478067,61738,Алексин
0.0,UTC+8,55.5551233,98.6643699,6751,Алзамай
0.0,UTC+3,44.6764304,34.4100624,29078,Алушта
1.0,UTC+3,54.9014619,52.2970467,146309,Альметьевск
0.0,UTC+10,50.2344147,136.8792444,42977,Амурск
2.0,UTC+12,64.7313924,177.5015421,13053,Анадырь
1.0,UTC+3,44.8950433,37.3163282,58983,Анапа
0.0,UTC+8,52.544879,103.888543,233765,Ангарск
1.0,UTC+3,56.6506724,32.2620163,8265,Андреаполь
0.0,UTC+7,56.0786281,86.0201278,76669,Анжеро-Судженск
1.0,UTC+11,46.713152,142.5265804,8449,Анива
0.0,UTC+3,67.5677761,33.4067929,59690,Апатиты
0.0,UTC+3,55.5276918,37.065143,18467,Апрелевка
1.0,UTC+3,44.4584006,39.7299824,40229,Апшеронск
0.0,UTC+5,56.694632,60.8343125,14227,Арамиль
0.0,UTC+3,43.2916774,45.8723105,29528,Аргун
1.0,UTC+3,54.8465544,46.2411232,9400,Ардатов
1.0,UTC+3,43.1755152,44.2955775,18774,Ардон
0.0,UTC+3,55.3945814,43.8408141,106367,Арзамас
1.0,UTC+4,51.938831,43.4999221,12846,Аркадак
0.0,UTC+3,45.0012149,41.1324168,188897,Армавир
0.0,UTC+3,46.1059307,33.6910012,21987,Армянск
0.0,UTC+10,44.1622031,133.2696209,56742,Арсеньев
1.0,UTC+3,56.0912567,49.877067,18114,Арск
0.0,UTC+10,43.3501675,132.1596175,102636,Артем
0.0,UTC+7,54.3473075,93.4358377,2180,Артемовск
1.0,UTC+5,57.3384177,61.8947443,32878,Артемовский
2.0,UTC+3,64.5394289,40.5169606,348716,Архангельск
0.0,UTC+5,57.0052277,61.4581156,70067,Асбест
1.0,UTC+7,56.9907085,86.1765257,25614,Асино
2.0,UTC+4,46.3655652,48.0559236,520662,Астрахань
0.0,UTC+4,51.8736062,45.0003247,25620,Аткарск
1.0,UTC+4,48.2752034,46.1906462,41898,Ахтубинск
0.0,UTC+7,56.253907,90.4794397,109156,Ачинск
1.0,UTC+5,54.9906527,57.2783953,31916,Аша
1.0,UTC+3,59.3892583,35.9377058,12074,Бабаево
0.0,UTC+8,51.7112755,105.8673219,4542,Бабушкин
1.0,UTC+3,54.4062891,53.2458065,22109,Бавлы
1.0,UTC+2,54.3866518,20.6418091,6399,Багратионовск
0.0,UTC+8,51.5230393,104.1487532,13589,Байкальск
1.0,UTC+5,52.5912896,58.3110998,17710,Баймак
0.0,UTC+5,54.9406399,58.8051698,20953,Бакал
1.0,UTC+3,43.6819137,43.5345036,36857,Баксан
0.0,UTC+3,55.1773714,36.6566951,26337,Балабаново
0.0,UTC+4,52.0224231,47.7827765,199576,Балаково
1.0,UTC+3,56.495036,43.5758423,51526,Балахна
0.0,UTC+3,55.796389,37.938283,215353,Балашиха
0.0,UTC+4,51.5388697,43.1839757,82222,Балашов
1.0,UTC+9,51.5823759,116.6379549,12536,Балей
1.0,UTC+2,54.6513372,19.9140572,32670,Балтийск
0.0,UTC+7,55.35146,78.3464506,30250,Барабинск
2.0,UTC+7,53.3479968,83.7798064,635585,Барнаул
0.0,UTC+4,53.6533992,47.1181134,17149,Барыш
0.0,UTC+3,47.1383299,39.7507179,112400,Батайск
0.0,UTC+3,44.7514769,33.8752176,27448,Бахчисарай
1.0,UTC+3,57.7860089,36.6904983,24517,Бежецк
1.0,UTC+3,48.1769737,40.8033529,43688,Белая Калитва
1.0,UTC+3,58.8415239,50.8460699,11232,Белая Холуница
2.0,UTC+3,50.5976472,36.5856652,356426,Белгород
1.0,UTC+5,54.1034582,54.1113129,60183,Белебей
1.0,UTC+3,53.8114179,36.1382247,13918,Белев
1.0,UTC+3,52.9640996,43.4183212,8567,Белинский
0.0,UTC+7,54.4220968,86.3037373,76752,Белово
0.0,UTC+9,50.9213415,128.4739471,68220,Белогорск
0.0,UTC+3,45.057202,34.5999029,16354,Белогорск
1.0,UTC+3,60.0308381,37.7890586,9614,Белозерск
0.0,UTC+7,51.996152,84.9839604,15072,Белокуриха
1.0,UTC+3,64.5378417,34.7799462,11217,Беломорск
0.0,UTC+3,55.4595766,38.4389742,17842,Белоозёрский
1.0,UTC+5,53.9676488,58.4100419,68804,Белорецк
1.0,UTC+3,44.7651876,39.8781494,53891,Белореченск
0.0,UTC+3,55.0956803,36.677629,8432,Белоусово
0.0,UTC+5,63.7121099,66.6772226,20283,Белоярский
1.0,UTC+3,55.8339056,32.9389741,3771,Белый
0.0,UTC+7,54.7582156,83.1070605,98809,Бердск
0.0,UTC+5,59.4079923,56.8039427,156350,Березники
0.0,UTC+7,55.6693513,86.2744459,47292,Березовский
0.0,UTC+5,56.9095924,60.8180907,51583,Березовский
1.0,UTC+3,43.1937529,44.5338707,36724,Беслан
0.0,UTC+7,52.5393864,85.2138453,203826,Бийск
0.0,UTC+10,46.8185743,134.2550718,17156,Бикин
1.0,UTC+12,68.0584191,166.4388172,5504,Билибино
2.0,UTC+10,48.7946446,132.9217207,75419,Биробиджан
1.0,UTC+5,55.4155753,55.5582214,41637,Бирск
0.0,UTC+8,55.9609167,97.8205348,8981,Бирюсинск
1.0,UTC+3,50.6484585,38.4005083,7842,Бирюч
2.0,UTC+9,50.290659,127.527198,214397,Благовещенск
1.0,UTC+5,55.0499867,55.9553186,34246,Благовещенск
1.0,UTC+3,45.0989782,43.4306455,32736,Благодарный
1.0,UTC+3,51.0901649,40.0318256,19738,Бобров
0.0,UTC+5,56.7764795,62.0463679,31752,Богданович
1.0,UTC+3,53.7701014,38.1225152,31897,Богородицк
1.0,UTC+3,56.1020828,43.5135442,25497,Богородск
0.0,UTC+7,56.2098468,89.5299336,21029,Боготол
1.0,UTC+3,49.9352454,40.5590801,11811,Богучар
0.0,UTC+8,57.8468636,114.1866287,15331,Бодайбо
1.0,UTC+3,59.4734797,33.845688,16593,Бокситогорск
1.0,UTC+3,54.974891,49.0303882,8650,Болгар
1.0,UTC+3,57.8855767,34.0537771,23499,Бологое
1.0,UTC+7,55.6692421,84.3906889,16969,Болотное
0.0,UTC+3,54.0820349,37.826724,9619,Болохово
1.0,UTC+3,53.4438496,36.0076833,11421,Болхов
0.0,UTC+10,43.1111742,132.3480082,39257,Большой Камень
0.0,UTC+3,56.3565458,44.0646481,78079,Бор
1.0,UTC+9,50.3876058,116.5234779,31376,Борзя
1.0,UTC+3,51.3655754,42.1008334,65585,Борисоглебск
1.0,UTC+3,58.3840197,33.9175929,54731,Боровичи
1.0,UTC+3,55.2130096,36.4926251,12283,Боровск
0.0,UTC+7,55.9054121,94.9020967,17423,Бородино
0.0,UTC+8,56.1513108,101.6340035,246348,Братск
0.0,UTC+3,55.4255379,38.264145,21102,Бронницы
2.0,UTC+3,53.2419535,34.3652146,415640,Брянск
1.0,UTC+3,54.5363495,52.7895849,89144,Бугульма
0.0,UTC+5,53.6523728,52.4326853,52249,Бугуруслан
1.0,UTC+3,44.7816067,44.1650339,64628,Буденновск
0.0,UTC+5,52.7881277,52.2624877,82816,Бузулук
1.0,UTC+3,54.9641538,48.2901209,20342,Буинск
1.0,UTC+3,58.4733277,41.5306822,25763,Буй
0.0,UTC+3,42.8214424,47.1165263,65735,Буйнакск
1.0,UTC+3,50.8311818,40.5976923,27208,Бутурлиновка
1.0,UTC+3,57.9823766,33.2369436,16099,Валдай
1.0,UTC+3,50.2111207,38.0998772,35322,Валуйки
1.0,UTC+3,55.6057916,31.1856206,7620,Велиж
0.0,UTC+3,56.332208,30.5508641,98778,Великие Луки
2.0,UTC+3,58.5213846,31.2755394,218724,Великий Новгород
