Город	Широта	Долгода	Страна
Абакан	53.720976	91.44242300000001	Россия
Архангельск	64.539304	40.518735	Россия
Астана	71.430564	51.128422	Россия
Астрахань	46.347869	48.033574 	Россия
Барнаул	53.356132	83.74961999999999	Россия
Белгород	50.597467	36.588849	Россия
Бийск	52.541444	85.219686 	Россия
Бишкек	42.871027	74.59452 	Киргизия
Благовещенск	50.290658	127.527173 	Россия
Братск	56.151382	101.634152 	Россия
Брянск	53.2434	34.364198	Россия
Великий Новгород	58.521475	31.275475	Россия
Владивосток	43.134019	131.928379	Россия
Владикавказ	43.024122	44.690476	Россия
Владимир	56.129042	40.40703 	Россия
Волгоград	48.707103	44.516939 	Россия
Вологда	59.220492	39.891568	Россия
Воронеж	51.661535	39.200287	Россия
Грозный	43.317992	45.698197 	Россия
Донецк	48.015877	37.80285 	Украина
Екатеринбург	56.838002	60.597295	Россия
Иваново	57.000348	40.973921	Россия
Ижевск	56.852775	53.211463 	Россия
Иркутск	52.286387	104.28066 	Россия
Казань	55.795793	49.106585 	Россия
Калининград	55.916229	37.854467	Россия
Калуга	54.507014	36.252277	Россия
Каменск-Уральский	56.414897	61.918905 	Россия
Кемерово	55.359594	86.08778100000001	Россия
Киев	50.402395	30.532690 	Украина
Киров	54.079033	34.323163	Россия
Комсомольск-на-Амуре	50.54986	137.007867 	Россия
Королев	55.916229	37.854467	Россия
Кострома	57.767683	40.926418	Россия
Краснодар	45.023877	38.970157	Россия
Красноярск	56.008691	92.870529	Россия
Курск	51.730361	36.192647	Россия
Липецк	52.61022	39.594719	Россия
Магнитогорск	53.411677	58.984415 	Россия
Махачкала	42.984913	47.504646	Россия
Минск	53.906077	27.554914 	Беларусь
Москва	55.755773	37.617761	Россия
Мурманск	68.96956299999999	33.07454	Россия
Набережные Челны	55.743553	52.39582 	Россия
Нижний Новгород	56.323902	44.002267	Россия
Нижний Тагил	57.910144	59.98132 	Россия
Новокузнецк	53.786502	87.155205	Россия
Новороссийск	44.723489	37.76866	Россия
Новосибирск	55.028739	82.90692799999999	Россия
Норильск	69.349039	88.201014	Россия
Омск	54.989342	73.368212 	Россия
Орел	52.970306	36.063514	Россия
Оренбург	51.76806	55.097449	Россия
Пенза	53.194546	45.019529 	Россия
Первоуральск	56.908099	59.942935 	Россия
Пермь	58.004785	56.237654	Россия
Прокопьевск	53.895355	86.744657 	Россия
Псков	57.819365	28.331786	Россия
Ростов-на-Дону	47.227151	39.744972	Россия
Рыбинск	58.13853	38.573586	Россия
Рязань	54.619886	39.744954	Россия
Самара	53.195533	50.101801 	Россия
Санкт-Петербург	59.938806	30.314278	Россия
Саратов	51.531528	46.03582 	Россия
Севастополь	44.616649	33.52536 	Россия
Северодвинск	64.55818600000001	39.82962	Россия
Северодвинск	64.558186	39.82962 	Россия
Симферополь	44.952116	34.102411 	Россия
Сочи	43.581509	39.722882	Россия
Ставрополь	45.044502	41.969065	Россия
Сухум	43.015679	41.025071 	Абхазия
Тамбов	52.721246	41.452238	Россия
Ташкент	41.314321	69.267295 	Узбекистан
Тверь	56.859611	35.911896	Россия
Тольятти	53.511311	49.418084	Россия
Томск	56.495116	84.972128	Россия
Тула	54.193033	37.617752	Россия
Тюмень	57.153033	65.534328 	Россия
Улан-Удэ	51.833507	107.584125	Россия
Ульяновск	54.317002	48.402243 	Россия
Уфа	54.734768	55.957838 	Россия
Хабаровск	48.472584	135.057732 	Россия
Харьков	49.993499	36.230376 	Украина
Чебоксары	56.1439	47.248887	Россия
Челябинск	55.159774	61.402455	Россия
Шахты	47.708485	40.215958	Россия
Энгельс	51.498891	46.125121 	Россия
Южно-Сахалинск	46.959118	142.738068 	Россия
Якутск	62.027833	129.704151	Россия
Ярославль	57.626569	39.893822	Россия
