,cpe_manufacturer_name,cpe_model_name,price
0,LG,K10 LTE Dual,3995
1,Samsung,Galaxy Note 20,54990
2,Samsung,Galaxy S22 Ultra,89990
3,Xiaomi,Mi 11 Lite 5G,37990
4,Xiaomi,Xiaomi 11T Pro,43999
5,Apple,iPhone Xs,25000
6,Apple,iPhone 6S Plus,13995
7,Vivo,Y17,8650
8,Samsung,Galaxy S6,9109
9,Apple,iPhone 8,17000
10,Xiaomi,Redmi Note 5A,4490
11,Apple,iPhone 5C,6490
12,Samsung,Galaxy J1 2016 LTE Dual,2380
13,Sony,Xperia Z5 Compact,9995
14,Xiaomi,Redmi Note 8 Pro,20990
15,Meizu,U10,20000
16,Samsung,Galaxy A3 LTE Dual,11850
17,Huawei,P40 Pro,69999
18,Samsung,Galaxy Note 3 4G,34990
19,Vivo,S1 Pro,23479
20,Meizu,M5 Note,7990
21,ZTE,Blade A3 2019,2995
22,Sony,Xperia X,11150
23,Samsung,Galaxy J5 2016 LTE Dual,11250
24,Asus,ZenFone 5,3690
25,Samsung,Galaxy S6 Edge+ LTE-A,50830
26,Samsung,Galaxy S5 LTE Dual,16270
27,Vivo,Y93,12990
28,Huawei,Y8p,12990
29,Nokia,2.4,8599
30,Realme Chongqing Mobile Telecommunications Corp Ltd,Realme 8,18999
31,Xiaomi,Redmi Note 10S,18999
32,Sony Mobile Communications Inc.,Xperia XZ3,8900
33,Sony,Xperia XZ1 Compact,22000
34,Samsung,Galaxy M32,19990
35,Sony,Xperia L1,4495
36,Oppo,A54,12799
37,ZTE,Blade V8,5995
38,Huawei,Mediapad T3 7.0,4589
39,Sony,Xperia XA1 Plus,8990
40,Xiaomi,Mi 5 Pro,24990
41,Samsung,SM-F711B,62999
42,Samsung,Galaxy S III Neo Plus,3990
43,Xiaomi,Redmi 4A,3990
44,Samsung,Galaxy S9 Plus Dual,29880
45,Xiaomi,Redmi 7A,7490
46,Huawei,Mate 20,20590
47,Samsung,Galaxy Note 8 Dual,32460
48,Huawei,Nova 3,8490
49,Xiaomi,Redmi K20,15000
50,Samsung,Galaxy J3 LTE Dual,7500
51,Realme Chongqing Mobile Telecommunications Corp Ltd,8 Pro,16900
52,Samsung,Galaxy Note20 Ultra 5G Dual Global,92600
53,Huawei,Mate 20 RS,179999
54,Oppo,Reno3,14990
55,Nokia,7.2,12208
56,Oppo,F5 Youth,6995
57,Huawei,P10 Lite Dual,15350
58,Realme Mobile Telecommunications (Shenzhen) Co Ltd,C2,3990
59,Xiaomi,Redmi Note 10,17000
60,Nokia,5.1 Plus,5995
61,Nokia,7.1 DS,32330
62,Samsung,Galaxy S20 Dual,25500
63,Nokia,2.3,4690
64,Apple,iPhone 7 Plus,12990
65,Samsung,Galaxy S4,1995
66,Samsung,Galaxy S6 Edge,8995
67,Xiaomi,Redmi Go,4490
68,Samsung,Galaxy S7 Dual Southeast Asia,17990
69,Xiaomi,MI Mix 2S,13490
70,Samsung,Galaxy Note 10 Dual,23900
71,Samsung,Galaxy Note 9 Dual,20990
72,Nokia,2.1 Dual,3190
73,Xiaomi,Redmi 9C NFC,4790
74,Huawei,Honor 8X Max,10290
75,Oppo,AX7,8800
76,Huawei,Honor 8 Dual,10290
77,Samsung,Galaxy Tab A 10.5,14499
78,Google Inc,Pixel 2 XL,13000
79,OnePlus,3 Dual,35990
80,Sony,Xperia XA1,6200
81,Asus,Zenfone Max Pro,4590
82,Xiaomi,Mi Note 10,16790
83,Huawei,Mate 20 X,57770
84,Oppo,A74,13350
85,OnePlus,9 Pro 5G,33640
86,Apple,iPhone 6 Plus,11000
87,Samsung,Galaxy S20+,35990
88,Apple,iPhone 4,4490
89,Samsung,Galaxy A22s,16999
90,Xiaomi,Redmi 9T,14990
91,Samsung,Galaxy Grand Prime Duos,4294
92,Vivo,Y31,9690
93,Samsung,Galaxy Tab A 2016 7.0,11999
94,Samsung,Galaxy Tab A 9.7 LTE,11890
95,Sony Mobile Communications Inc.,Xperia 5,14900
96,Samsung,Galaxy S20 Ultra 5G Dual,35990
97,Huawei,Y5II 3G Dual,2890
98,Itel Technology Limited,L6006,5990
99,Apple,iPad mini 4,15000
100,Xiaomi,POCO M3 Pro 5G,11990
101,LG,X Power Dual,2390
102,Xiaomi,Redmi 4,8031
103,Xiaomi,Mi 10T,20999
104,Xiaomi,Redmi 9A Global,5999
105,Samsung,Galaxy S9 Plus,14995
106,Samsung,Galaxy A20s Dual,17830
107,Huawei,P40 Lite E,12999
108,OnePlus,9 5G,34990
109,Xiaomi,MI 8 Lite,7990
110,Samsung,Galaxy S9,14995
111,Apple,iPhone 6S,9980
112,Nokia,G20,9490
113,Samsung,Galaxy Note 4,8800
114,Huawei,Y7p,6090
115,Samsung,Galaxy A50 Dual,8690
116,Xiaomi,Mi 11 Lite,21150
117,Xiaomi,Mi 10T 5G,20000
118,OnePlus,5,21510
119,Sony,Xperia E5,5000
120,Meizu,Note 9,13480
121,Xiaomi,Redmi Note 9,10490
122,Lenovo,Vibe Shot,13000
123,Samsung,Galaxy Tab A 8.0 2019,11320
124,Itel Technology Limited,L5002,5290
125,Doke Communication (HK) Limited,BV9500 Plus,18900
126,Huawei,Honor 8A Pro,7290
127,Vivo,Y30,14990
