,url_host,title,description,text
0,http://googleads.g.doubleclick.net,,,
1,http://i.ytimg.com,,,
2,http://tpc.googlesyndication.com,,,
3,http://instagram.com,Akado,,"﻿ Akado Подключение ИНТЕРАКТИВНОГО ТВ Отправить Доступ к информационному ресурсу ограничен на основании Федерального закона от 27 июля 2006 №149-ФЗ 
«Об информации, информационных технологиях и о защите информации». Адрес сайта Единого реестра доменных имен, указателей, страниц сайтов в сети Интернет и сетевых адресов, позволяющих идентифицировать сайты в сети Интернет, содержащие информацию, распространение которой в Российской Федерации запрещено: http://blocklist.rkn.gov.ru/ Адрес Реестра нарушителей авторских прав: http://nap.rkn.gov.ru/reestr/ интерактивное  ТВ Смотри где угодно. Отключи когда захочешь. Подключить до 45 дней в подарок ОАО «КОМКОР». Россия, 117535, г. Москва, Варшавское шоссе, д. 133. ИНН 7717020170  ОГРН 1027739387521"
4,http://zen.yandex.ru,,,
5,http://ad.adriver.ru,,,
6,http://s0.2mdn.net,,,
7,http://play.google.com,,,
8,http://node1.online.sberbank.ru,,,
9,http://node3.online.sberbank.ru,,,
10,http://st.mycdn.me,,,403 Forbidden 403 Forbidden Apache
11,http://banners.adfox.ru,,,403 Forbidden 403 Forbidden nginx
12,http://tube.buzzoola.com,,,403 Forbidden 403 Forbidden nginx
13,http://m.facebook.com,Akado,,"﻿ Akado Подключение ИНТЕРАКТИВНОГО ТВ Отправить Доступ к информационному ресурсу ограничен на основании Федерального закона от 27 июля 2006 №149-ФЗ 
«Об информации, информационных технологиях и о защите информации». Адрес сайта Единого реестра доменных имен, указателей, страниц сайтов в сети Интернет и сетевых адресов, позволяющих идентифицировать сайты в сети Интернет, содержащие информацию, распространение которой в Российской Федерации запрещено: http://blocklist.rkn.gov.ru/ Адрес Реестра нарушителей авторских прав: http://nap.rkn.gov.ru/reestr/ интерактивное  ТВ Смотри где угодно. Отключи когда захочешь. Подключить до 45 дней в подарок ОАО «КОМКОР». Россия, 117535, г. Москва, Варшавское шоссе, д. 133. ИНН 7717020170  ОГРН 1027739387521"
14,http://frontend.vh.yandex.ru,,,
15,http://ssp.rambler.ru,,,403 Forbidden 403 Forbidden nginx
