Название города;Регион;Округ;Широта;Долгота
Хмельницкий;Хмельницкая область;Центральная Украина;49.416668;27
Каменец-Подольский;Хмельницкая область;Центральная Украина;48.683334;26.583332
Нетишин;Хмельницкая область;Центральная Украина;50.346695;26.633587
Славута;Хмельницкая область;Центральная Украина;50.299999;26.866667
Староконстантинов;Хмельницкая область;Центральная Украина;49.755554;27.220833
Шепетовка;Хмельницкая область;Центральная Украина;50.182003;27.066854
Волочиск;Хмельницкая область;Центральная Украина;49.528984;26.208408
Городок;Хмельницкая область;Центральная Украина;49.163685;26.578232
Деражня;Хмельницкая область;Центральная Украина;49.266666;27.433332
Дунаевцы;Хмельницкая область;Центральная Украина;48.890911;26.849583
Изяслав;Хмельницкая область;Центральная Украина;50.118732;26.838671
Красилов;Хмельницкая область;Центральная Украина;49.651943;26.970556
Полонное;Хмельницкая область;Центральная Украина;50.116669;27.516666
Летичев;Хмельницкая область;Центральная Украина;49.383331;27.616667
Теофиполь;Хмельницкая область;Центральная Украина;49.841946;26.411943
Житомир;Житомирская область;Центральная Украина;50.25;28.666668
Бердичев;Житомирская область;Центральная Украина;49.907902;28.587934
Коростень;Житомирская область;Центральная Украина;50.96183;28.635452
Новоград-Волынский;Житомирская область;Центральная Украина;50.583332;27.633333
Малин;Житомирская область;Центральная Украина;50.770515;29.258142
Овруч;Житомирская область;Центральная Украина;51.327831;28.813343
Олевск;Житомирская область;Центральная Украина;51.223362;27.638645
Радомышль;Житомирская область;Центральная Украина;50.496059;29.236578
Емильчино;Житомирская область;Центральная Украина;50.872223;27.807777
Попельня;Житомирская область;Центральная Украина;49.966389;29.443333
Винница;Винницкая область;Центральная Украина;49.233334;28.483334
Могилёв-Подольский;Винницкая область;Центральная Украина;48.450001;27.799999
Хмельник;Винницкая область;Центральная Украина;49.559605;27.957466
Казатин;Винницкая область;Центральная Украина;49.720551;28.84907
Ладыжин;Винницкая область;Центральная Украина;48.672398;29.264328
